,total,Sun,Mon,Tue,Wed,Thur,Fri,Sat,owner,repo,date
41,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-07-03 00:00:00
42,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-07-10 00:00:00
43,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-07-17 00:00:00
44,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-07-24 00:00:00
45,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-07-31 00:00:00
46,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-08-07 00:00:00
47,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-08-14 00:00:00
48,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-08-21 00:00:00
49,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-08-28 00:00:00
50,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-09-04 00:00:00
51,0,0,0,0,0,0,0,0,inconshreveable,ngrok,2016-09-11 00:00:00
0,0,0,0,0,0,0,0,0,madebymany,sir-trevor-js,2015-09-20 00:00:00
1,1,1,0,0,0,0,0,0,madebymany,sir-trevor-js,2015-09-27 00:00:00
2,0,0,0,0,0,0,0,0,madebymany,sir-trevor-js,2015-10-04 00:00:00
3,0,0,0,0,0,0,0,0,madebymany,sir-trevor-js,2015-10-11 00:00:00
4,3,0,0,1,1,0,1,0,madebymany,sir-trevor-js,2015-10-18 00:00:00
5,0,0,0,0,0,0,0,0,madebymany,sir-trevor-js,2015-10-25 00:00:00
6,2,0,1,0,0,1,0,0,madebymany,sir-trevor-js,2015-11-01 00:00:00
7,0,0,0,0,0,0,0,0,madebymany,sir-trevor-js,2015-11-08 00:00:00
