,owner,repo,a,c,d,date
405,carrierwaveuploader,carrierwave,230,5,130,2011-09-18 00:00:00
406,eczarny,spectacle,0,0,0,2011-09-18 00:00:00
407,jquery,jquery-ui,622,17,421,2011-09-18 00:00:00
408,JakeWharton,ViewPagerIndicator,1411,5,1234,2011-09-25 00:00:00
409,carrierwaveuploader,carrierwave,0,0,0,2011-09-25 00:00:00
410,eczarny,spectacle,0,0,0,2011-09-25 00:00:00
411,jquery,jquery-ui,777,29,417,2011-09-25 00:00:00
412,JakeWharton,ViewPagerIndicator,3494,20,3363,2011-10-02 00:00:00
413,carrierwaveuploader,carrierwave,7,1,1,2011-10-02 00:00:00
414,eczarny,spectacle,0,0,0,2011-10-02 00:00:00
415,jquery,jquery-ui,97,10,29,2011-10-02 00:00:00
416,JakeWharton,ViewPagerIndicator,0,0,0,2011-10-09 00:00:00
417,carrierwaveuploader,carrierwave,28,2,10,2011-10-09 00:00:00
418,eczarny,spectacle,0,0,0,2011-10-09 00:00:00
419,jquery,jquery-ui,455,29,295,2011-10-09 00:00:00
420,JakeWharton,ViewPagerIndicator,47,5,39,2011-10-16 00:00:00
421,carrierwaveuploader,carrierwave,0,0,0,2011-10-16 00:00:00
422,eczarny,spectacle,0,0,0,2011-10-16 00:00:00
423,jquery,jquery-ui,37024,24,9732,2011-10-16 00:00:00
424,JakeWharton,ViewPagerIndicator,88,1,16,2011-10-23 00:00:00
425,carrierwaveuploader,carrierwave,84,2,0,2011-10-23 00:00:00
426,eczarny,spectacle,0,0,0,2011-10-23 00:00:00
427,jquery,jquery-ui,459,5,256,2011-10-23 00:00:00
428,JakeWharton,ViewPagerIndicator,0,0,0,2011-10-30 00:00:00
429,carrierwaveuploader,carrierwave,0,0,0,2011-10-30 00:00:00
430,eczarny,spectacle,0,0,0,2011-10-30 00:00:00
431,jquery,jquery-ui,537,15,3203,2011-10-30 00:00:00
432,JakeWharton,ViewPagerIndicator,0,0,0,2011-11-06 00:00:00
433,carrierwaveuploader,carrierwave,14,4,5,2011-11-06 00:00:00
434,eczarny,spectacle,0,0,0,2011-11-06 00:00:00
435,jquery,jquery-ui,18951,9,9275,2011-11-06 00:00:00
436,JakeWharton,ViewPagerIndicator,762,7,220,2011-11-13 00:00:00
437,carrierwaveuploader,carrierwave,8,2,1,2011-11-13 00:00:00
438,eczarny,spectacle,503,17,3510,2011-11-13 00:00:00
439,jquery,jquery-ui,179,7,126,2011-11-13 00:00:00
440,JakeWharton,ViewPagerIndicator,200,10,186,2011-11-20 00:00:00
441,carrierwaveuploader,carrierwave,4,2,57,2011-11-20 00:00:00
442,eczarny,spectacle,7212,15,1424,2011-11-20 00:00:00
443,jquery,jquery-ui,19139,15,9676,2011-11-20 00:00:00
444,JakeWharton,ViewPagerIndicator,102,9,55,2011-11-27 00:00:00
445,carrierwaveuploader,carrierwave,0,0,0,2011-11-27 00:00:00
446,eczarny,spectacle,1333,18,664,2011-11-27 00:00:00
447,jquery,jquery-ui,370,12,359,2011-11-27 00:00:00
448,JakeWharton,ViewPagerIndicator,2,2,1,2011-12-04 00:00:00
449,carrierwaveuploader,carrierwave,0,0,0,2011-12-04 00:00:00
450,eczarny,spectacle,6066,27,6753,2011-12-04 00:00:00
451,jquery,jquery-ui,3,2,3,2011-12-04 00:00:00
452,JakeWharton,ViewPagerIndicator,179,7,121,2011-12-11 00:00:00
453,carrierwaveuploader,carrierwave,0,0,0,2011-12-11 00:00:00
454,eczarny,spectacle,7371,13,7553,2011-12-11 00:00:00
455,jquery,jquery-ui,79,3,52,2011-12-11 00:00:00
456,JakeWharton,ViewPagerIndicator,122,4,7,2011-12-18 00:00:00
457,carrierwaveuploader,carrierwave,91,8,25,2011-12-18 00:00:00
458,eczarny,spectacle,523,5,239,2011-12-18 00:00:00
459,jquery,jquery-ui,108,9,83,2011-12-18 00:00:00
460,JakeWharton,ViewPagerIndicator,50,7,43,2011-12-25 00:00:00
461,carrierwaveuploader,carrierwave,71,7,33,2011-12-25 00:00:00
462,eczarny,spectacle,23,3,23,2011-12-25 00:00:00
463,jquery,jquery-ui,0,0,0,2011-12-25 00:00:00
464,JakeWharton,ViewPagerIndicator,2,1,2,2012-01-01 00:00:00
465,carrierwaveuploader,carrierwave,11,3,19,2012-01-01 00:00:00
466,eczarny,spectacle,0,0,0,2012-01-01 00:00:00
467,jquery,jquery-ui,103,6,1402,2012-01-01 00:00:00
468,JakeWharton,ViewPagerIndicator,62,8,16,2012-01-08 00:00:00
469,carrierwaveuploader,carrierwave,0,0,0,2012-01-08 00:00:00
470,eczarny,spectacle,0,0,0,2012-01-08 00:00:00
471,jquery,jquery-ui,321,14,320,2012-01-08 00:00:00
472,JakeWharton,ViewPagerIndicator,0,0,0,2012-01-15 00:00:00
473,carrierwaveuploader,carrierwave,183,7,1051,2012-01-15 00:00:00
474,eczarny,spectacle,0,0,0,2012-01-15 00:00:00
475,jquery,jquery-ui,116,10,51,2012-01-15 00:00:00
476,JakeWharton,ViewPagerIndicator,46,11,25,2012-01-22 00:00:00
477,carrierwaveuploader,carrierwave,66,2,42,2012-01-22 00:00:00
478,eczarny,spectacle,0,0,0,2012-01-22 00:00:00
479,jquery,jquery-ui,473,18,372,2012-01-22 00:00:00
480,JakeWharton,ViewPagerIndicator,6,1,6,2012-01-29 00:00:00
481,carrierwaveuploader,carrierwave,0,0,0,2012-01-29 00:00:00
482,eczarny,spectacle,0,0,0,2012-01-29 00:00:00
483,jquery,jquery-ui,376,14,3319,2012-01-29 00:00:00
484,JakeWharton,ViewPagerIndicator,0,0,0,2012-02-05 00:00:00
485,carrierwaveuploader,carrierwave,49,4,48,2012-02-05 00:00:00
486,eczarny,spectacle,0,0,0,2012-02-05 00:00:00
487,jquery,jquery-ui,278,15,480,2012-02-05 00:00:00
488,JakeWharton,ViewPagerIndicator,0,0,0,2012-02-12 00:00:00
489,carrierwaveuploader,carrierwave,39,4,4,2012-02-12 00:00:00
490,eczarny,spectacle,0,0,0,2012-02-12 00:00:00
491,jquery,jquery-ui,396,16,395,2012-02-12 00:00:00
492,JakeWharton,ViewPagerIndicator,0,0,0,2012-02-19 00:00:00
493,carrierwaveuploader,carrierwave,146,8,16,2012-02-19 00:00:00
494,eczarny,spectacle,103,3,75,2012-02-19 00:00:00
495,jquery,jquery-ui,306,27,437,2012-02-19 00:00:00
496,JakeWharton,ViewPagerIndicator,0,0,0,2012-02-26 00:00:00
497,carrierwaveuploader,carrierwave,0,0,0,2012-02-26 00:00:00
498,eczarny,spectacle,0,0,0,2012-02-26 00:00:00
499,jquery,jquery-ui,2577,42,2095,2012-02-26 00:00:00
500,JakeWharton,ViewPagerIndicator,28,3,58,2012-03-04 00:00:00
501,carrierwaveuploader,carrierwave,1,1,0,2012-03-04 00:00:00
502,eczarny,spectacle,0,0,0,2012-03-04 00:00:00
503,jquery,jquery-ui,1098,35,559,2012-03-04 00:00:00
504,JakeWharton,ViewPagerIndicator,18,2,9,2012-03-11 00:00:00
505,carrierwaveuploader,carrierwave,0,0,0,2012-03-11 00:00:00
506,eczarny,spectacle,0,0,0,2012-03-11 00:00:00
507,jquery,jquery-ui,8,3,9,2012-03-11 00:00:00
508,JakeWharton,ViewPagerIndicator,4,1,4,2012-03-18 00:00:00
509,carrierwaveuploader,carrierwave,20,2,2,2012-03-18 00:00:00
510,eczarny,spectacle,0,0,0,2012-03-18 00:00:00
511,jquery,jquery-ui,19654,19,10088,2012-03-18 00:00:00
512,JakeWharton,ViewPagerIndicator,2,1,0,2012-03-25 00:00:00
513,carrierwaveuploader,carrierwave,28,5,5,2012-03-25 00:00:00
514,eczarny,spectacle,0,0,0,2012-03-25 00:00:00
515,jquery,jquery-ui,738,15,294,2012-03-25 00:00:00
516,JakeWharton,ViewPagerIndicator,0,0,0,2012-04-01 00:00:00
517,carrierwaveuploader,carrierwave,25,4,9,2012-04-01 00:00:00
518,eczarny,spectacle,0,0,0,2012-04-01 00:00:00
519,jquery,jquery-ui,550,24,629,2012-04-01 00:00:00
520,JakeWharton,ViewPagerIndicator,0,0,0,2012-04-08 00:00:00
521,carrierwaveuploader,carrierwave,23,4,7,2012-04-08 00:00:00
522,eczarny,spectacle,0,0,0,2012-04-08 00:00:00
523,jquery,jquery-ui,821,23,596,2012-04-08 00:00:00
524,JakeWharton,ViewPagerIndicator,0,0,0,2012-04-15 00:00:00
525,carrierwaveuploader,carrierwave,108,6,26,2012-04-15 00:00:00
526,eczarny,spectacle,0,0,0,2012-04-15 00:00:00
527,jquery,jquery-ui,2185,45,11574,2012-04-15 00:00:00
528,JakeWharton,ViewPagerIndicator,4,1,3,2012-04-22 00:00:00
529,carrierwaveuploader,carrierwave,62,2,5,2012-04-22 00:00:00
530,eczarny,spectacle,0,0,0,2012-04-22 00:00:00
531,jquery,jquery-ui,5819,37,1836,2012-04-22 00:00:00
532,JakeWharton,ViewPagerIndicator,8,1,3,2012-04-29 00:00:00
533,carrierwaveuploader,carrierwave,21,2,1,2012-04-29 00:00:00
534,eczarny,spectacle,0,0,0,2012-04-29 00:00:00
535,jquery,jquery-ui,1065,26,789,2012-04-29 00:00:00
536,JakeWharton,ViewPagerIndicator,8,1,44,2012-05-06 00:00:00
537,carrierwaveuploader,carrierwave,0,0,0,2012-05-06 00:00:00
538,eczarny,spectacle,0,0,0,2012-05-06 00:00:00
539,jquery,jquery-ui,822,24,1265,2012-05-06 00:00:00
540,JakeWharton,ViewPagerIndicator,2400,20,1108,2012-05-13 00:00:00
541,carrierwaveuploader,carrierwave,0,0,0,2012-05-13 00:00:00
542,eczarny,spectacle,0,0,0,2012-05-13 00:00:00
543,jquery,jquery-ui,2237,48,5346,2012-05-13 00:00:00
544,JakeWharton,ViewPagerIndicator,0,0,0,2012-05-20 00:00:00
545,carrierwaveuploader,carrierwave,0,0,0,2012-05-20 00:00:00
546,eczarny,spectacle,0,0,0,2012-05-20 00:00:00
547,jquery,jquery-ui,901,60,700,2012-05-20 00:00:00
548,JakeWharton,ViewPagerIndicator,0,0,0,2012-05-27 00:00:00
549,carrierwaveuploader,carrierwave,9,2,19,2012-05-27 00:00:00
550,eczarny,spectacle,0,0,0,2012-05-27 00:00:00
551,jquery,jquery-ui,168,20,127,2012-05-27 00:00:00
552,JakeWharton,ViewPagerIndicator,2,2,5,2012-06-03 00:00:00
553,carrierwaveuploader,carrierwave,0,0,0,2012-06-03 00:00:00
554,eczarny,spectacle,0,0,0,2012-06-03 00:00:00
555,jquery,jquery-ui,1055,8,332,2012-06-03 00:00:00
556,JakeWharton,ViewPagerIndicator,0,0,0,2012-06-10 00:00:00
557,carrierwaveuploader,carrierwave,0,0,0,2012-06-10 00:00:00
558,eczarny,spectacle,1,1,1,2012-06-10 00:00:00
559,jquery,jquery-ui,2668,45,2466,2012-06-10 00:00:00
560,JakeWharton,ViewPagerIndicator,0,0,0,2012-06-17 00:00:00
561,carrierwaveuploader,carrierwave,0,0,0,2012-06-17 00:00:00
562,eczarny,spectacle,0,0,0,2012-06-17 00:00:00
563,jquery,jquery-ui,496,6,477,2012-06-17 00:00:00
564,JakeWharton,ViewPagerIndicator,0,0,0,2012-06-24 00:00:00
565,carrierwaveuploader,carrierwave,31,3,5,2012-06-24 00:00:00
566,eczarny,spectacle,0,0,0,2012-06-24 00:00:00
567,jquery,jquery-ui,915,15,221,2012-06-24 00:00:00
568,JakeWharton,ViewPagerIndicator,0,0,0,2012-07-01 00:00:00
569,carrierwaveuploader,carrierwave,4,3,4,2012-07-01 00:00:00
570,eczarny,spectacle,0,0,0,2012-07-01 00:00:00
571,jquery,jquery-ui,520,12,96,2012-07-01 00:00:00
572,JakeWharton,ViewPagerIndicator,1,1,1,2012-07-08 00:00:00
573,carrierwaveuploader,carrierwave,8,1,0,2012-07-08 00:00:00
574,eczarny,spectacle,0,0,0,2012-07-08 00:00:00
575,jquery,jquery-ui,541,28,353,2012-07-08 00:00:00
576,JakeWharton,ViewPagerIndicator,0,0,0,2012-07-15 00:00:00
577,carrierwaveuploader,carrierwave,0,0,0,2012-07-15 00:00:00
578,eczarny,spectacle,0,0,0,2012-07-15 00:00:00
579,jquery,jquery-ui,782,23,708,2012-07-15 00:00:00
580,JakeWharton,ViewPagerIndicator,0,0,0,2012-07-22 00:00:00
581,carrierwaveuploader,carrierwave,0,0,0,2012-07-22 00:00:00
582,eczarny,spectacle,0,0,0,2012-07-22 00:00:00
583,jquery,jquery-ui,128,7,117,2012-07-22 00:00:00
584,JakeWharton,ViewPagerIndicator,2,1,5,2012-07-29 00:00:00
585,carrierwaveuploader,carrierwave,0,0,0,2012-07-29 00:00:00
586,eczarny,spectacle,9,1,3,2012-07-29 00:00:00
587,jquery,jquery-ui,16,4,8,2012-07-29 00:00:00
588,madebymany,sir-trevor-js,289010,3,52,2012-07-29 00:00:00
589,JakeWharton,ViewPagerIndicator,0,0,0,2012-08-05 00:00:00
590,carrierwaveuploader,carrierwave,230,8,9,2012-08-05 00:00:00
591,eczarny,spectacle,57,3,3832,2012-08-05 00:00:00
592,jquery,jquery-ui,58,5,344,2012-08-05 00:00:00
593,madebymany,sir-trevor-js,4323,27,289806,2012-08-05 00:00:00
594,JakeWharton,ViewPagerIndicator,34,3,5,2012-08-12 00:00:00
595,carrierwaveuploader,carrierwave,0,0,0,2012-08-12 00:00:00
596,eczarny,spectacle,0,1,20,2012-08-12 00:00:00
597,jquery,jquery-ui,18737,5,9630,2012-08-12 00:00:00
598,madebymany,sir-trevor-js,7956,36,1599,2012-08-12 00:00:00
599,JakeWharton,ViewPagerIndicator,0,1,2,2012-08-19 00:00:00
600,carrierwaveuploader,carrierwave,2,1,2,2012-08-19 00:00:00
601,eczarny,spectacle,305,5,25,2012-08-19 00:00:00
602,jquery,jquery-ui,61,5,54,2012-08-19 00:00:00
603,madebymany,sir-trevor-js,12262,25,3175,2012-08-19 00:00:00
604,JakeWharton,ViewPagerIndicator,711,7,87,2012-08-26 00:00:00
605,carrierwaveuploader,carrierwave,11,2,4,2012-08-26 00:00:00
606,eczarny,spectacle,222,7,373,2012-08-26 00:00:00
607,jquery,jquery-ui,275,24,120,2012-08-26 00:00:00
608,madebymany,sir-trevor-js,0,0,0,2012-08-26 00:00:00
609,JakeWharton,ViewPagerIndicator,144,6,63,2012-09-02 00:00:00
610,carrierwaveuploader,carrierwave,0,0,0,2012-09-02 00:00:00
611,eczarny,spectacle,0,0,0,2012-09-02 00:00:00
612,jquery,jquery-ui,65,5,49,2012-09-02 00:00:00
613,madebymany,sir-trevor-js,243,2,120,2012-09-02 00:00:00
614,JakeWharton,ViewPagerIndicator,15,4,13,2012-09-09 00:00:00
615,carrierwaveuploader,carrierwave,0,0,0,2012-09-09 00:00:00
616,eczarny,spectacle,2,1,2,2012-09-09 00:00:00
617,jquery,jquery-ui,830,7,2638,2012-09-09 00:00:00
618,madebymany,sir-trevor-js,87,2,46,2012-09-09 00:00:00
619,JakeWharton,ViewPagerIndicator,0,0,0,2012-09-16 00:00:00
620,carrierwaveuploader,carrierwave,73,2,47,2012-09-16 00:00:00
621,eczarny,spectacle,0,0,0,2012-09-16 00:00:00
622,jquery,jquery-ui,28444,5,9488,2012-09-16 00:00:00
623,madebymany,sir-trevor-js,43,1,38,2012-09-16 00:00:00
624,JakeWharton,ViewPagerIndicator,0,0,0,2012-09-23 00:00:00
625,carrierwaveuploader,carrierwave,0,0,0,2012-09-23 00:00:00
626,eczarny,spectacle,0,0,0,2012-09-23 00:00:00
627,jquery,jquery-ui,51,7,41,2012-09-23 00:00:00
628,jschr,bootstrap-modal,785,1,0,2012-09-23 00:00:00
629,madebymany,sir-trevor-js,0,0,0,2012-09-23 00:00:00
630,JakeWharton,ViewPagerIndicator,0,0,0,2012-09-30 00:00:00
631,carrierwaveuploader,carrierwave,0,0,0,2012-09-30 00:00:00
632,eczarny,spectacle,0,0,0,2012-09-30 00:00:00
633,jquery,jquery-ui,159,16,68,2012-09-30 00:00:00
634,jschr,bootstrap-modal,1115,9,653,2012-09-30 00:00:00
635,madebymany,sir-trevor-js,27,3,3,2012-09-30 00:00:00
636,JakeWharton,ViewPagerIndicator,0,0,0,2012-10-07 00:00:00
637,carrierwaveuploader,carrierwave,0,0,0,2012-10-07 00:00:00
638,eczarny,spectacle,0,0,0,2012-10-07 00:00:00
639,jquery,jquery-ui,78,13,65,2012-10-07 00:00:00
640,jschr,bootstrap-modal,1156,45,910,2012-10-07 00:00:00
641,madebymany,sir-trevor-js,3097,19,3099,2012-10-07 00:00:00
642,JakeWharton,ViewPagerIndicator,0,0,0,2012-10-14 00:00:00
643,carrierwaveuploader,carrierwave,26,4,6,2012-10-14 00:00:00
644,eczarny,spectacle,13,2,3,2012-10-14 00:00:00
645,jquery,jquery-ui,6542,19,6366,2012-10-14 00:00:00
646,jschr,bootstrap-modal,28,8,13,2012-10-14 00:00:00
647,madebymany,sir-trevor-js,17,3,12,2012-10-14 00:00:00
648,JakeWharton,ViewPagerIndicator,0,0,0,2012-10-21 00:00:00
649,carrierwaveuploader,carrierwave,8,1,0,2012-10-21 00:00:00
650,eczarny,spectacle,0,0,0,2012-10-21 00:00:00
651,jquery,jquery-ui,3177,96,5194,2012-10-21 00:00:00
652,jschr,bootstrap-modal,134,3,49,2012-10-21 00:00:00
653,madebymany,sir-trevor-js,44,1,24,2012-10-21 00:00:00
654,JakeWharton,ViewPagerIndicator,0,0,0,2012-10-28 00:00:00
655,carrierwaveuploader,carrierwave,0,0,0,2012-10-28 00:00:00
656,eczarny,spectacle,0,0,0,2012-10-28 00:00:00
657,jquery,jquery-ui,1682,13,1496,2012-10-28 00:00:00
658,jschr,bootstrap-modal,318,8,60,2012-10-28 00:00:00
659,madebymany,sir-trevor-js,0,0,0,2012-10-28 00:00:00
660,rendrjs,rendr,6266,18,4179,2012-10-28 00:00:00
661,JakeWharton,ViewPagerIndicator,0,0,0,2012-11-04 00:00:00
662,carrierwaveuploader,carrierwave,20,6,13,2012-11-04 00:00:00
663,eczarny,spectacle,0,0,0,2012-11-04 00:00:00
664,jquery,jquery-ui,819,41,659,2012-11-04 00:00:00
665,jschr,bootstrap-modal,3382,9,57,2012-11-04 00:00:00
666,madebymany,sir-trevor-js,0,0,0,2012-11-04 00:00:00
667,rendrjs,rendr,1352,42,1086,2012-11-04 00:00:00
668,JakeWharton,ViewPagerIndicator,0,0,0,2012-11-11 00:00:00
669,carrierwaveuploader,carrierwave,10,1,5,2012-11-11 00:00:00
670,eczarny,spectacle,0,0,0,2012-11-11 00:00:00
671,jquery,jquery-ui,20960,59,10794,2012-11-11 00:00:00
672,jschr,bootstrap-modal,524,22,3679,2012-11-11 00:00:00
673,madebymany,sir-trevor-js,0,0,0,2012-11-11 00:00:00
674,rendrjs,rendr,213,15,349,2012-11-11 00:00:00
675,JakeWharton,ViewPagerIndicator,0,0,0,2012-11-18 00:00:00
676,carrierwaveuploader,carrierwave,8,1,6,2012-11-18 00:00:00
677,eczarny,spectacle,0,0,0,2012-11-18 00:00:00
678,jquery,jquery-ui,2294,26,1054,2012-11-18 00:00:00
679,jschr,bootstrap-modal,7,6,7,2012-11-18 00:00:00
680,madebymany,sir-trevor-js,0,0,0,2012-11-18 00:00:00
681,rendrjs,rendr,491,32,345,2012-11-18 00:00:00
682,JakeWharton,ViewPagerIndicator,0,0,0,2012-11-25 00:00:00
683,carrierwaveuploader,carrierwave,126,7,83,2012-11-25 00:00:00
684,eczarny,spectacle,0,0,0,2012-11-25 00:00:00
685,jquery,jquery-ui,352,41,325,2012-11-25 00:00:00
686,jschr,bootstrap-modal,220,6,131,2012-11-25 00:00:00
687,madebymany,sir-trevor-js,33,2,25,2012-11-25 00:00:00
688,rendrjs,rendr,867,40,844,2012-11-25 00:00:00
689,JakeWharton,ViewPagerIndicator,0,0,0,2012-12-02 00:00:00
690,carrierwaveuploader,carrierwave,0,0,0,2012-12-02 00:00:00
691,eczarny,spectacle,0,0,0,2012-12-02 00:00:00
692,jquery,jquery-ui,1201,47,868,2012-12-02 00:00:00
693,jschr,bootstrap-modal,0,0,0,2012-12-02 00:00:00
694,madebymany,sir-trevor-js,0,0,0,2012-12-02 00:00:00
695,rendrjs,rendr,623,27,304,2012-12-02 00:00:00
696,JakeWharton,ViewPagerIndicator,0,0,0,2012-12-09 00:00:00
697,carrierwaveuploader,carrierwave,0,0,0,2012-12-09 00:00:00
698,eczarny,spectacle,0,0,0,2012-12-09 00:00:00
699,jquery,jquery-ui,1594,42,1108,2012-12-09 00:00:00
700,jschr,bootstrap-modal,0,0,0,2012-12-09 00:00:00
701,madebymany,sir-trevor-js,0,0,0,2012-12-09 00:00:00
702,rendrjs,rendr,119,20,74,2012-12-09 00:00:00
703,JakeWharton,ViewPagerIndicator,0,0,0,2012-12-16 00:00:00
704,carrierwaveuploader,carrierwave,0,0,0,2012-12-16 00:00:00
705,eczarny,spectacle,0,0,0,2012-12-16 00:00:00
706,jquery,jquery-ui,592,14,678,2012-12-16 00:00:00
707,jschr,bootstrap-modal,0,0,0,2012-12-16 00:00:00
708,madebymany,sir-trevor-js,1845,17,1415,2012-12-16 00:00:00
709,rendrjs,rendr,17,4,9,2012-12-16 00:00:00
710,JakeWharton,ViewPagerIndicator,0,0,0,2012-12-23 00:00:00
711,carrierwaveuploader,carrierwave,0,0,0,2012-12-23 00:00:00
712,eczarny,spectacle,0,0,0,2012-12-23 00:00:00
713,jquery,jquery-ui,3898,17,3592,2012-12-23 00:00:00
714,jschr,bootstrap-modal,0,0,0,2012-12-23 00:00:00
715,madebymany,sir-trevor-js,0,0,0,2012-12-23 00:00:00
716,rendrjs,rendr,0,0,0,2012-12-23 00:00:00
717,JakeWharton,ViewPagerIndicator,0,0,0,2012-12-30 00:00:00
718,carrierwaveuploader,carrierwave,4,3,4,2012-12-30 00:00:00
719,eczarny,spectacle,0,0,0,2012-12-30 00:00:00
720,jquery,jquery-ui,143,10,63,2012-12-30 00:00:00
721,jschr,bootstrap-modal,0,0,0,2012-12-30 00:00:00
722,madebymany,sir-trevor-js,0,0,0,2012-12-30 00:00:00
723,rendrjs,rendr,0,0,0,2012-12-30 00:00:00
724,JakeWharton,ViewPagerIndicator,0,0,0,2013-01-06 00:00:00
725,carrierwaveuploader,carrierwave,42,8,41,2013-01-06 00:00:00
726,eczarny,spectacle,0,0,0,2013-01-06 00:00:00
727,jquery,jquery-ui,4550,14,3885,2013-01-06 00:00:00
728,jschr,bootstrap-modal,3,3,7,2013-01-06 00:00:00
729,madebymany,sir-trevor-js,0,0,0,2013-01-06 00:00:00
730,rendrjs,rendr,102,3,180,2013-01-06 00:00:00
731,JakeWharton,ViewPagerIndicator,0,0,0,2013-01-13 00:00:00
732,carrierwaveuploader,carrierwave,28,2,1,2013-01-13 00:00:00
733,eczarny,spectacle,0,0,0,2013-01-13 00:00:00
734,jquery,jquery-ui,19336,10,9690,2013-01-13 00:00:00
735,jschr,bootstrap-modal,135,6,156,2013-01-13 00:00:00
736,madebymany,sir-trevor-js,0,0,0,2013-01-13 00:00:00
737,rendrjs,rendr,553,17,315,2013-01-13 00:00:00
738,JakeWharton,ViewPagerIndicator,0,0,0,2013-01-20 00:00:00
739,carrierwaveuploader,carrierwave,0,0,0,2013-01-20 00:00:00
740,eczarny,spectacle,63,7,39,2013-01-20 00:00:00
741,jquery,jquery-ui,125,8,17,2013-01-20 00:00:00
742,jschr,bootstrap-modal,84,11,50,2013-01-20 00:00:00
743,madebymany,sir-trevor-js,0,0,0,2013-01-20 00:00:00
744,rendrjs,rendr,151,3,137,2013-01-20 00:00:00
745,JakeWharton,ViewPagerIndicator,0,0,0,2013-01-27 00:00:00
746,carrierwaveuploader,carrierwave,2,1,2,2013-01-27 00:00:00
747,eczarny,spectacle,1993,19,1376,2013-01-27 00:00:00
748,jquery,jquery-ui,1306,20,848,2013-01-27 00:00:00
749,jschr,bootstrap-modal,0,0,0,2013-01-27 00:00:00
750,madebymany,sir-trevor-js,17,2,13,2013-01-27 00:00:00
751,rendrjs,rendr,0,0,0,2013-01-27 00:00:00
752,JakeWharton,ViewPagerIndicator,0,0,0,2013-02-03 00:00:00
753,carrierwaveuploader,carrierwave,0,0,0,2013-02-03 00:00:00
754,eczarny,spectacle,273,8,68,2013-02-03 00:00:00
755,jquery,jquery-ui,416,11,362,2013-02-03 00:00:00
756,jschr,bootstrap-modal,2,2,2,2013-02-03 00:00:00
757,madebymany,sir-trevor-js,3,1,2,2013-02-03 00:00:00
758,rendrjs,rendr,33,9,26,2013-02-03 00:00:00
759,JakeWharton,ViewPagerIndicator,0,0,0,2013-02-10 00:00:00
760,carrierwaveuploader,carrierwave,1,1,0,2013-02-10 00:00:00
761,eczarny,spectacle,0,0,0,2013-02-10 00:00:00
762,jquery,jquery-ui,417,20,320,2013-02-10 00:00:00
763,jschr,bootstrap-modal,15,1,0,2013-02-10 00:00:00
764,madebymany,sir-trevor-js,0,0,0,2013-02-10 00:00:00
765,rendrjs,rendr,2,1,2,2013-02-10 00:00:00
766,JakeWharton,ViewPagerIndicator,0,0,0,2013-02-17 00:00:00
767,carrierwaveuploader,carrierwave,0,0,0,2013-02-17 00:00:00
768,eczarny,spectacle,0,0,0,2013-02-17 00:00:00
769,jquery,jquery-ui,272,10,154,2013-02-17 00:00:00
770,jschr,bootstrap-modal,5,1,5,2013-02-17 00:00:00
771,madebymany,sir-trevor-js,0,0,0,2013-02-17 00:00:00
772,rendrjs,rendr,23,4,10,2013-02-17 00:00:00
773,JakeWharton,ViewPagerIndicator,0,0,0,2013-02-24 00:00:00
774,carrierwaveuploader,carrierwave,158,7,97,2013-02-24 00:00:00
775,eczarny,spectacle,0,0,0,2013-02-24 00:00:00
776,jquery,jquery-ui,140,10,81,2013-02-24 00:00:00
777,jschr,bootstrap-modal,0,0,0,2013-02-24 00:00:00
778,madebymany,sir-trevor-js,0,0,0,2013-02-24 00:00:00
779,rendrjs,rendr,32,12,14,2013-02-24 00:00:00
780,JakeWharton,ViewPagerIndicator,0,0,0,2013-03-03 00:00:00
781,carrierwaveuploader,carrierwave,70,7,39,2013-03-03 00:00:00
782,eczarny,spectacle,0,0,0,2013-03-03 00:00:00
783,jquery,jquery-ui,713,24,719,2013-03-03 00:00:00
784,jschr,bootstrap-modal,0,0,0,2013-03-03 00:00:00
785,madebymany,sir-trevor-js,697,2,354,2013-03-03 00:00:00
786,rendrjs,rendr,6,2,4,2013-03-03 00:00:00
787,JakeWharton,ViewPagerIndicator,0,0,0,2013-03-10 00:00:00
788,carrierwaveuploader,carrierwave,0,0,0,2013-03-10 00:00:00
789,eczarny,spectacle,0,0,0,2013-03-10 00:00:00
790,jquery,jquery-ui,932,26,708,2013-03-10 00:00:00
791,jschr,bootstrap-modal,0,0,0,2013-03-10 00:00:00
792,madebymany,sir-trevor-js,192,6,297,2013-03-10 00:00:00
793,rendrjs,rendr,1,1,1,2013-03-10 00:00:00
794,JakeWharton,ViewPagerIndicator,0,0,0,2013-03-17 00:00:00
795,carrierwaveuploader,carrierwave,12,4,10,2013-03-17 00:00:00
796,eczarny,spectacle,0,0,0,2013-03-17 00:00:00
797,inconshreveable,ngrok,4751,16,2404,2013-03-17 00:00:00
798,jquery,jquery-ui,224,13,98,2013-03-17 00:00:00
799,jschr,bootstrap-modal,2,1,2,2013-03-17 00:00:00
800,madebymany,sir-trevor-js,1407,6,1350,2013-03-17 00:00:00
801,rendrjs,rendr,195,6,209,2013-03-17 00:00:00
802,JakeWharton,ViewPagerIndicator,0,0,0,2013-03-24 00:00:00
803,carrierwaveuploader,carrierwave,3,3,2,2013-03-24 00:00:00
804,eczarny,spectacle,0,0,0,2013-03-24 00:00:00
805,inconshreveable,ngrok,1112,15,1015,2013-03-24 00:00:00
806,jquery,jquery-ui,215,10,147,2013-03-24 00:00:00
