owner,repo,weekofyear,stars
carrierwaveuploader,carrierwave,46,21
carrierwaveuploader,carrierwave,47,14
carrierwaveuploader,carrierwave,48,19
carrierwaveuploader,carrierwave,49,20
carrierwaveuploader,carrierwave,50,18
carrierwaveuploader,carrierwave,51,14
carrierwaveuploader,carrierwave,52,11
eczarny,spectacle,1,4
eczarny,spectacle,2,50
eczarny,spectacle,3,50
eczarny,spectacle,4,46
eczarny,spectacle,5,44
eczarny,spectacle,6,32
eczarny,spectacle,7,44
eczarny,spectacle,8,26
eczarny,spectacle,9,24
eczarny,spectacle,10,32
eczarny,spectacle,11,35
eczarny,spectacle,12,33
eczarny,spectacle,13,27
eczarny,spectacle,14,30
eczarny,spectacle,15,45
eczarny,spectacle,16,25
eczarny,spectacle,17,26
eczarny,spectacle,18,47
eczarny,spectacle,19,44
eczarny,spectacle,20,70
eczarny,spectacle,21,39
eczarny,spectacle,22,57
eczarny,spectacle,23,84
eczarny,spectacle,24,56
eczarny,spectacle,25,52
eczarny,spectacle,26,36
eczarny,spectacle,27,42
eczarny,spectacle,28,50
eczarny,spectacle,29,68
eczarny,spectacle,30,42
eczarny,spectacle,31,35
eczarny,spectacle,32,28
eczarny,spectacle,33,33
eczarny,spectacle,34,37
eczarny,spectacle,35,35
eczarny,spectacle,36,42
eczarny,spectacle,37,32
eczarny,spectacle,38,36
eczarny,spectacle,39,21
eczarny,spectacle,40,26
eczarny,spectacle,41,34
eczarny,spectacle,42,52
eczarny,spectacle,43,47
eczarny,spectacle,44,43
eczarny,spectacle,45,36
eczarny,spectacle,46,40
eczarny,spectacle,47,75
eczarny,spectacle,48,40
eczarny,spectacle,49,38
eczarny,spectacle,50,35
eczarny,spectacle,51,35
eczarny,spectacle,52,23
inconshreveable,ngrok,1,2
inconshreveable,ngrok,2,33
inconshreveable,ngrok,3,35
inconshreveable,ngrok,4,28
inconshreveable,ngrok,5,39
inconshreveable,ngrok,6,54
inconshreveable,ngrok,7,43
inconshreveable,ngrok,8,66
inconshreveable,ngrok,9,43
inconshreveable,ngrok,10,39
inconshreveable,ngrok,11,59
inconshreveable,ngrok,12,44
inconshreveable,ngrok,13,39
inconshreveable,ngrok,14,47
inconshreveable,ngrok,15,36
inconshreveable,ngrok,16,21
inconshreveable,ngrok,17,49
inconshreveable,ngrok,18,46
inconshreveable,ngrok,19,42
inconshreveable,ngrok,20,29
inconshreveable,ngrok,21,39
inconshreveable,ngrok,22,28
inconshreveable,ngrok,23,40
inconshreveable,ngrok,24,46
inconshreveable,ngrok,25,45
inconshreveable,ngrok,26,38
inconshreveable,ngrok,27,43
inconshreveable,ngrok,28,50
inconshreveable,ngrok,29,57
inconshreveable,ngrok,30,55
inconshreveable,ngrok,31,30
inconshreveable,ngrok,32,40
inconshreveable,ngrok,33,50
inconshreveable,ngrok,34,34
inconshreveable,ngrok,35,65
inconshreveable,ngrok,36,44
inconshreveable,ngrok,37,62
inconshreveable,ngrok,38,62
inconshreveable,ngrok,39,40
inconshreveable,ngrok,40,49
inconshreveable,ngrok,41,52
inconshreveable,ngrok,42,32
