owner,repo,additions,commits,deletions,weekofyear
inconshreveable,ngrok,0,0,0,16
jquery,jquery-ui,0,0,0,16
jschr,bootstrap-modal,0,0,0,16
lebinh,ngxtop,0,0,0,16
madebymany,sir-trevor-js,225,11,432,16
rendrjs,rendr,0,0,0,16
IanLunn,Hover,0,0,0,17
JakeWharton,ViewPagerIndicator,0,0,0,17
carrierwaveuploader,carrierwave,552,3,275,17
eczarny,spectacle,0,0,0,17
inconshreveable,ngrok,0,0,0,17
jquery,jquery-ui,3,1,3,17
jschr,bootstrap-modal,0,0,0,17
lebinh,ngxtop,0,0,0,17
madebymany,sir-trevor-js,0,0,0,17
rendrjs,rendr,0,0,0,17
IanLunn,Hover,0,0,0,18
JakeWharton,ViewPagerIndicator,0,0,0,18
carrierwaveuploader,carrierwave,2,2,597,18
eczarny,spectacle,0,0,0,18
inconshreveable,ngrok,0,0,0,18
jquery,jquery-ui,3,1,2,18
jschr,bootstrap-modal,0,0,0,18
lebinh,ngxtop,0,0,0,18
madebymany,sir-trevor-js,1,1,1,18
rendrjs,rendr,0,0,0,18
IanLunn,Hover,79,1,8,19
JakeWharton,ViewPagerIndicator,0,0,0,19
carrierwaveuploader,carrierwave,61,3,51,19
eczarny,spectacle,230,1,4,19
inconshreveable,ngrok,0,0,0,19
jquery,jquery-ui,0,0,0,19
jschr,bootstrap-modal,0,0,0,19
lebinh,ngxtop,0,0,0,19
madebymany,sir-trevor-js,84,1,10,19
rendrjs,rendr,0,0,0,19
IanLunn,Hover,0,0,0,20
JakeWharton,ViewPagerIndicator,0,0,0,20
carrierwaveuploader,carrierwave,47,2,48,20
eczarny,spectacle,0,0,0,20
inconshreveable,ngrok,1,1,1,20
jquery,jquery-ui,0,0,0,20
jschr,bootstrap-modal,0,0,0,20
lebinh,ngxtop,0,0,0,20
madebymany,sir-trevor-js,10,4,9,20
rendrjs,rendr,0,0,0,20
IanLunn,Hover,0,0,0,21
JakeWharton,ViewPagerIndicator,0,0,0,21
carrierwaveuploader,carrierwave,0,0,0,21
eczarny,spectacle,655,13,815,21
inconshreveable,ngrok,1,1,1,21
jquery,jquery-ui,30,15,41,21
jschr,bootstrap-modal,0,0,0,21
lebinh,ngxtop,0,0,0,21
madebymany,sir-trevor-js,0,0,0,21
rendrjs,rendr,0,0,0,21
IanLunn,Hover,0,0,0,22
JakeWharton,ViewPagerIndicator,0,0,0,22
carrierwaveuploader,carrierwave,0,0,0,22
eczarny,spectacle,498,10,715,22
inconshreveable,ngrok,0,0,0,22
jquery,jquery-ui,23,3,4,22
jschr,bootstrap-modal,0,0,0,22
lebinh,ngxtop,0,0,0,22
madebymany,sir-trevor-js,44,3,12,22
rendrjs,rendr,0,0,0,22
IanLunn,Hover,0,0,0,23
JakeWharton,ViewPagerIndicator,0,0,0,23
carrierwaveuploader,carrierwave,0,0,0,23
eczarny,spectacle,352,5,62,23
inconshreveable,ngrok,0,0,0,23
jquery,jquery-ui,0,0,0,23
jschr,bootstrap-modal,0,0,0,23
lebinh,ngxtop,0,0,0,23
madebymany,sir-trevor-js,73,6,52,23
rendrjs,rendr,0,0,0,23
IanLunn,Hover,0,0,0,24
